34,"SELECT ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<# AND Err_g<#"
2019-07-24 11:10:00,1
2019-07-24 11:17:00,1
2019-07-24 12:22:00,1
2019-07-24 12:26:00,1
2019-07-24 12:32:00,1
2019-07-24 12:37:00,1
2019-07-24 12:39:00,1
2019-07-24 12:44:00,1
2019-07-24 12:50:00,1
2019-07-24 12:51:00,1
2019-07-24 12:54:00,1
2019-07-24 12:59:00,1
2019-07-24 13:08:00,1
2019-07-24 13:11:00,1
2019-07-24 13:13:00,1
2019-07-24 13:32:00,1
2019-07-24 13:41:00,1
2019-07-24 13:46:00,1
2019-07-24 13:53:00,1
2019-07-24 13:57:00,1
2019-07-24 14:02:00,1
2019-07-24 14:08:00,1
2019-07-24 14:13:00,1
2019-07-24 14:18:00,1
2019-07-24 14:20:00,1
2019-07-24 14:23:00,1
2019-07-24 14:26:00,1
2019-07-24 14:33:00,1
2019-07-24 14:36:00,1
2019-07-24 14:39:00,1
2019-07-24 14:41:00,1
2019-07-24 15:04:00,3
