231,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-07-24 01:19:00,9
2019-07-24 01:23:00,9
2019-07-24 01:24:00,9
2019-07-24 01:29:00,9
2019-07-24 01:30:00,9
2019-07-24 01:45:00,15
2019-07-24 01:46:00,9
2019-07-24 01:52:00,9
2019-07-24 02:02:00,9
2019-07-24 02:06:00,9
2019-07-24 02:08:00,9
2019-07-24 02:11:00,9
2019-07-24 17:44:00,9
2019-07-24 18:04:00,9
2019-07-24 18:07:00,9
2019-07-24 18:09:00,9
2019-07-24 18:10:00,3
2019-07-24 18:11:00,4
2019-07-24 18:12:00,5
2019-07-24 18:18:00,9
2019-07-24 18:19:00,13
2019-07-24 18:20:00,9
2019-07-24 18:28:00,3
2019-07-24 18:38:00,2
2019-07-24 19:10:00,3
2019-07-24 19:17:00,3
2019-07-24 19:20:00,3
2019-07-24 19:23:00,3
2019-07-24 19:29:00,3
2019-07-24 19:32:00,3
2019-07-24 19:33:00,3
2019-07-24 19:35:00,3
2019-07-24 19:37:00,3
2019-07-24 19:39:00,3
2019-07-24 19:43:00,3
