5,"SELECT TOP #  s.z,p.dec,p.objID,cast(str(p.ra,#,#) as float) as ra  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  WHERE s.zWarning = # AND (s.class = &&& OR s.class = &&&) AND ( p.type = # OR p.type = #)"
2019-12-11 12:31:00,2
2019-12-11 12:40:00,2
2019-12-11 12:42:00,1
