4996,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-12-11 13:32:00,181
2019-12-11 13:33:00,19
2019-12-11 13:45:00,303
2019-12-11 13:46:00,74
2019-12-11 13:53:00,144
2019-12-11 13:54:00,243
2019-12-11 13:55:00,93
2019-12-11 13:58:00,12
2019-12-11 13:59:00,198
2019-12-11 14:00:00,234
2019-12-11 14:08:00,96
2019-12-11 14:09:00,378
2019-12-11 14:10:00,179
2019-12-11 14:11:00,51
2019-12-11 14:14:00,86
2019-12-11 14:15:00,85
2019-12-11 14:16:00,131
2019-12-11 14:19:00,76
2019-12-11 14:20:00,27
2019-12-11 14:23:00,214
2019-12-11 14:24:00,90
2019-12-11 14:25:00,86
2019-12-11 14:26:00,46
2019-12-11 14:42:00,37
2019-12-11 14:43:00,519
2019-12-11 14:44:00,23
2019-12-11 14:45:00,355
2019-12-11 14:46:00,12
2019-12-11 14:47:00,148
2019-12-11 14:48:00,20
2019-12-11 14:53:00,60
2019-12-11 14:54:00,206
2019-12-11 14:56:00,101
2019-12-11 14:57:00,142
2019-12-11 14:58:00,141
2019-12-11 15:05:00,186
