5,"SELECT TOP #  s.plate,s.mjd,s.fiberid,s.dec,cast(str(s.ra,#,#) as float) as ra,s.subClass,s.z,p.r,p.u,p.u_r  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = # AND (s.class = &&&) AND ( p.type = # OR p.type = #)"
2019-12-11 22:54:00,2
2019-12-11 22:55:00,3
