7106,"select mode, ra, dec, objID, run, rerun, camcol, field, obj, rowc, colc, petroMag_u, petroMag_g, petroMag_r, petroMag_i, petroMag_z, petroMagErr_u, petroMagErr_g, petroMagErr_r, petroMagErr_i,petroMagErr_z, petroRad_r, petroRadErr_r,petroR5#_r,petroR5#Err_r,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z from PhotoObjAll where objID=#"
2019-12-11 03:33:00,1
2019-12-11 03:34:00,2
2019-12-11 03:35:00,2
2019-12-11 03:36:00,25
2019-12-11 03:37:00,20
2019-12-11 03:40:00,50
2019-12-11 03:41:00,69
2019-12-11 03:42:00,53
2019-12-11 03:43:00,51
2019-12-11 03:44:00,51
2019-12-11 03:45:00,54
2019-12-11 03:46:00,53
2019-12-11 03:47:00,68
2019-12-11 03:48:00,66
2019-12-11 03:49:00,70
2019-12-11 03:50:00,56
2019-12-11 03:51:00,70
2019-12-11 03:52:00,70
2019-12-11 03:53:00,70
2019-12-11 03:54:00,68
2019-12-11 03:55:00,68
2019-12-11 03:56:00,69
2019-12-11 03:57:00,68
2019-12-11 03:58:00,65
2019-12-11 03:59:00,70
2019-12-11 04:00:00,63
2019-12-11 04:01:00,60
2019-12-11 04:02:00,65
2019-12-11 04:03:00,67
2019-12-11 04:04:00,44
2019-12-11 04:33:00,26
2019-12-11 04:34:00,69
2019-12-11 04:35:00,71
2019-12-11 04:36:00,70
2019-12-11 04:37:00,70
2019-12-11 04:38:00,47
2019-12-11 04:39:00,68
2019-12-11 04:40:00,69
2019-12-11 04:41:00,66
2019-12-11 04:42:00,68
2019-12-11 04:43:00,70
2019-12-11 04:44:00,68
2019-12-11 04:45:00,70
2019-12-11 04:46:00,67
2019-12-11 04:47:00,70
2019-12-11 04:48:00,69
2019-12-11 04:49:00,70
2019-12-11 04:50:00,70
2019-12-11 04:51:00,69
2019-12-11 04:52:00,68
2019-12-11 04:53:00,65
2019-12-11 04:54:00,67
2019-12-11 04:55:00,65
2019-12-11 04:56:00,68
2019-12-11 04:57:00,15
2019-12-11 04:58:00,70
2019-12-11 04:59:00,70
2019-12-11 05:00:00,70
2019-12-11 05:01:00,64
2019-12-11 05:02:00,64
2019-12-11 05:03:00,70
2019-12-11 05:04:00,70
2019-12-11 05:05:00,69
2019-12-11 05:06:00,62
2019-12-11 05:07:00,69
2019-12-11 05:08:00,71
2019-12-11 05:09:00,70
2019-12-11 05:10:00,68
2019-12-11 05:11:00,69
2019-12-11 05:12:00,71
2019-12-11 05:13:00,70
2019-12-11 05:14:00,71
2019-12-11 05:15:00,70
2019-12-11 05:16:00,72
2019-12-11 05:17:00,66
2019-12-11 05:18:00,68
2019-12-11 05:19:00,69
2019-12-11 05:20:00,71
2019-12-11 05:21:00,69
2019-12-11 05:22:00,71
2019-12-11 05:23:00,70
2019-12-11 05:24:00,72
2019-12-11 05:25:00,70
2019-12-11 05:26:00,72
2019-12-11 05:27:00,70
2019-12-11 05:28:00,69
2019-12-11 05:29:00,69
2019-12-11 05:30:00,68
2019-12-11 05:31:00,61
2019-12-11 05:32:00,72
2019-12-11 05:33:00,70
2019-12-11 05:34:00,63
2019-12-11 05:35:00,69
2019-12-11 05:36:00,69
2019-12-11 05:37:00,69
2019-12-11 05:38:00,70
2019-12-11 05:39:00,69
2019-12-11 05:40:00,68
2019-12-11 05:41:00,65
2019-12-11 05:42:00,69
2019-12-11 05:43:00,62
2019-12-11 05:44:00,67
2019-12-11 05:45:00,69
2019-12-11 05:46:00,53
2019-12-11 05:47:00,57
2019-12-11 05:48:00,44
2019-12-11 05:49:00,45
2019-12-11 05:50:00,42
2019-12-11 05:51:00,52
2019-12-11 05:52:00,32
2019-12-11 05:53:00,50
2019-12-11 05:54:00,63
2019-12-11 05:55:00,44
2019-12-11 05:56:00,41
2019-12-11 05:57:00,57
2019-12-11 05:58:00,27
