70,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-09-01 01:28:00,1
2019-09-01 04:51:00,2
2019-09-01 04:52:00,2
2019-09-01 04:53:00,2
2019-09-01 04:54:00,2
2019-09-01 04:56:00,1
2019-09-01 05:05:00,1
2019-09-01 05:06:00,3
2019-09-01 05:07:00,1
2019-09-01 05:15:00,1
2019-09-01 05:16:00,1
2019-09-01 05:35:00,1
2019-09-01 06:09:00,2
2019-09-01 06:23:00,1
2019-09-01 10:49:00,1
2019-09-01 11:01:00,10
2019-09-01 11:02:00,5
2019-09-01 13:13:00,3
2019-09-01 13:14:00,2
2019-09-01 13:55:00,9
2019-09-01 13:56:00,4
2019-09-01 14:04:00,6
2019-09-01 14:05:00,2
2019-09-01 14:06:00,3
2019-09-01 16:18:00,1
2019-09-01 18:52:00,1
2019-09-01 18:55:00,1
2019-09-01 20:02:00,1
