138,"select p.objID,p.ra,p.dec,p.run,p.rerun,p.camcol,p.field,p.obj,dbo.fGetUrlFitsCFrame(fieldid,&&&),gn.distance FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON p.objID = GN.objID ORDER BY distance"
2019-09-01 00:36:00,3
2019-09-01 00:37:00,3
2019-09-01 00:38:00,3
2019-09-01 00:39:00,3
2019-09-01 00:40:00,3
2019-09-01 00:41:00,3
2019-09-01 00:42:00,4
2019-09-01 00:43:00,3
2019-09-01 00:44:00,3
2019-09-01 00:45:00,3
2019-09-01 00:46:00,3
2019-09-01 00:47:00,4
2019-09-01 00:48:00,3
2019-09-01 00:49:00,3
2019-09-01 00:50:00,3
2019-09-01 00:51:00,3
2019-09-01 00:52:00,3
2019-09-01 00:53:00,3
2019-09-01 00:54:00,4
2019-09-01 00:55:00,3
2019-09-01 00:56:00,3
2019-09-01 00:57:00,4
2019-09-01 00:58:00,3
2019-09-01 00:59:00,3
2019-09-01 01:00:00,3
2019-09-01 01:01:00,3
2019-09-01 01:02:00,3
2019-09-01 01:03:00,3
2019-09-01 01:04:00,3
2019-09-01 01:05:00,4
2019-09-01 01:06:00,3
2019-09-01 01:07:00,3
2019-09-01 01:08:00,3
2019-09-01 01:09:00,4
2019-09-01 01:10:00,3
2019-09-01 01:11:00,3
2019-09-01 01:12:00,3
2019-09-01 01:13:00,3
2019-09-01 01:14:00,3
2019-09-01 01:15:00,3
2019-09-01 01:16:00,3
2019-09-01 01:17:00,3
2019-09-01 01:18:00,3
2019-09-01 01:19:00,3
