3,"select s.ra, s.dec, s.plate, s.mjd, s.fiberid,spp.TEFFADOP,spp.LOGGADOP,spp.FEHADOP FROM SpecObjAll as s, SpecPhotoAll as ph, sppParams as spp where s.ra=#  and s.dec=#"
2019-03-20 01:32:00,2
2019-03-20 01:35:00,1
