13,"select p.ra, p.dec, p.z, p.Err_z from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_z <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-20 08:27:00,1
2019-03-20 09:43:00,1
2019-03-20 10:07:00,1
2019-03-20 10:55:00,1
2019-03-20 12:22:00,1
2019-03-20 12:58:00,1
2019-03-20 13:12:00,1
2019-03-20 13:44:00,1
2019-03-20 14:08:00,1
2019-03-20 14:49:00,1
2019-03-20 15:56:00,1
2019-03-20 16:21:00,1
2019-03-20 23:57:00,1
