12,"SELECT      p.objID, p.ra, p.dec, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.insideMask, p.modelMag_u, p.modelMagErr_u, p.modelMag_g, p.modelMagErr_g, p.modelMag_r, p.modelMagErr_r, p.modelMag_i, p.modelMagErr_i, p.modelMag_z, p.modelMagErr_z, p.petroMag_u, p.petroMagErr_u, p.petroMag_g, p.petroMagErr_g, p.petroMag_r, p.petroMagErr_r, p.petroMag_i, p.petroMagErr_i, p.petroMag_z, p.petroMagErr_z, p.petroR5#_r, p.petroR9#_r, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z, p.type_u, p.type_g, p.type_r, p.type_i, p.type_z, p.flags_u, p.flags_g, p.flags_r, p.flags_i, p.flags_z, p.mRrCc_u, p.mRrCcErr_u, p.mRrCcPSF_u, p.mRrCc_g, p.mRrCcErr_g, p.mRrCcPSF_g, p.mRrCc_r, p.mRrCcErr_r, p.mRrCcPSF_r, p.mRrCc_i, p.mRrCcErr_i, p.mRrCcPSF_i, p.mRrCc_z, p.mRrCcErr_z, p.mRrCcPSF_z, z.z, z.zErr, z.chiSq into mydb.MyTable1#_# from PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid JOIN Run AS r ON f.run = r.run LEFT OUTER JOIN photoz AS z ON p.objID = z.objID WHERE   ((p.dered_g < #) OR (p.dered_r < #) OR (p.dered_i < #))   and p.modelMag_r<#   and p.type=#   and r.stripe=#"
2019-03-20 12:38:00,1
2019-03-20 12:41:00,1
2019-03-20 13:08:00,1
2019-03-20 13:36:00,1
2019-03-20 13:46:00,1
2019-03-20 13:47:00,1
2019-03-20 14:11:00,1
2019-03-20 15:55:00,1
2019-03-20 15:59:00,1
2019-03-20 16:15:00,1
2019-03-20 16:32:00,1
2019-03-20 16:48:00,1
