2,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.plate, s.mjd, s.fiberID, s.z, s.specobjid FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-20 18:13:00,1
2019-03-20 18:20:00,1
