13,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-20 08:24:00,1
2019-03-20 09:40:00,1
2019-03-20 10:04:00,1
2019-03-20 10:53:00,1
2019-03-20 12:19:00,1
2019-03-20 12:57:00,1
2019-03-20 13:09:00,1
2019-03-20 13:42:00,1
2019-03-20 14:05:00,1
2019-03-20 14:46:00,1
2019-03-20 15:53:00,1
2019-03-20 16:18:00,1
2019-03-20 23:55:00,1
