13,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_i <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-20 08:25:00,1
2019-03-20 08:49:00,1
2019-03-20 09:41:00,1
2019-03-20 10:54:00,1
2019-03-20 12:20:00,1
2019-03-20 12:58:00,1
2019-03-20 13:10:00,1
2019-03-20 13:43:00,1
2019-03-20 14:06:00,1
2019-03-20 14:47:00,1
2019-03-20 15:54:00,1
2019-03-20 16:19:00,1
2019-03-20 23:55:00,1
