12,"select p.ra, p.dec, p.g, p.Err_g from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_g <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-20 08:23:00,1
2019-03-20 09:39:00,1
2019-03-20 10:03:00,1
2019-03-20 10:52:00,1
2019-03-20 12:18:00,1
2019-03-20 12:57:00,1
2019-03-20 13:08:00,1
2019-03-20 13:41:00,1
2019-03-20 14:04:00,1
2019-03-20 14:45:00,1
2019-03-20 15:52:00,1
2019-03-20 23:55:00,1
