159,"SELECT aa_i,kk_i,airmass_i,gain_i,sky_i,skysig_i FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-03-20 16:01:00,5
2019-03-20 16:02:00,6
2019-03-20 16:03:00,7
2019-03-20 16:04:00,6
2019-03-20 16:05:00,6
2019-03-20 16:06:00,7
2019-03-20 16:07:00,6
2019-03-20 16:08:00,6
2019-03-20 16:09:00,3
2019-03-20 16:23:00,1
2019-03-20 16:24:00,5
2019-03-20 16:25:00,4
2019-03-20 16:26:00,5
2019-03-20 16:27:00,5
2019-03-20 16:28:00,5
2019-03-20 16:29:00,4
2019-03-20 16:30:00,5
2019-03-20 16:31:00,5
2019-03-20 16:32:00,5
2019-03-20 16:33:00,5
2019-03-20 16:34:00,4
2019-03-20 16:35:00,5
2019-03-20 16:36:00,5
2019-03-20 16:37:00,5
2019-03-20 16:38:00,4
2019-03-20 16:39:00,5
2019-03-20 16:40:00,5
2019-03-20 16:41:00,4
2019-03-20 16:42:00,2
2019-03-20 16:51:00,4
2019-03-20 16:52:00,4
2019-03-20 16:53:00,5
2019-03-20 16:54:00,5
2019-03-20 16:55:00,1
