23,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-03-20 09:01:00,2
2019-03-20 12:00:00,2
2019-03-20 14:15:00,1
2019-03-20 15:33:00,1
2019-03-20 16:50:00,1
2019-03-20 16:51:00,2
2019-03-20 16:53:00,1
2019-03-20 16:56:00,2
2019-03-20 16:57:00,1
2019-03-20 17:30:00,1
2019-03-20 17:31:00,1
2019-03-20 17:32:00,1
2019-03-20 18:01:00,2
2019-03-20 18:03:00,1
2019-03-20 19:21:00,1
2019-03-20 19:30:00,1
2019-03-20 21:07:00,1
2019-03-20 21:26:00,1
