493,"SELECT ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,Err_u,Err_g,Err_r,Err_i,Err_z,flags_r,run   FROM Galaxy   WHERE   (run=# OR run=#) AND   ra BETWEEN # and # AND dec BETWEEN # and #"
2019-04-01 00:38:00,21
2019-04-01 00:39:00,14
2019-04-01 00:40:00,29
2019-04-01 00:41:00,47
2019-04-01 00:42:00,32
2019-04-01 00:43:00,26
2019-04-01 00:44:00,15
2019-04-01 00:45:00,13
2019-04-01 00:46:00,17
2019-04-01 00:47:00,19
2019-04-01 00:48:00,19
2019-04-01 00:49:00,32
2019-04-01 00:50:00,44
2019-04-01 00:51:00,58
2019-04-01 00:52:00,26
2019-04-01 00:53:00,28
2019-04-01 00:54:00,26
2019-04-01 00:55:00,17
2019-04-01 00:56:00,7
2019-04-01 00:57:00,1
2019-04-01 00:58:00,2
