47,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-04-01 00:12:00,2
2019-04-01 01:16:00,2
2019-04-01 01:17:00,1
2019-04-01 05:10:00,1
2019-04-01 05:35:00,4
2019-04-01 05:36:00,4
2019-04-01 05:37:00,4
2019-04-01 05:38:00,2
2019-04-01 07:51:00,1
2019-04-01 09:45:00,1
2019-04-01 13:37:00,1
2019-04-01 14:56:00,1
2019-04-01 15:47:00,1
2019-04-01 16:23:00,1
2019-04-01 17:33:00,1
2019-04-01 18:09:00,1
2019-04-01 19:36:00,1
2019-04-01 20:56:00,6
2019-04-01 20:57:00,8
2019-04-01 21:26:00,1
2019-04-01 21:27:00,1
2019-04-01 21:37:00,1
2019-04-01 23:05:00,1
