6,"select top # p.objid as name, p.ra, p.dec from photoobj p, specobj s where p.objid=s.bestobjid and (s.class = &&&) and s.z BETWEEN # AND #"
2019-04-01 00:02:00,4
2019-04-01 00:03:00,2
