28,"SELECT DISTINCT p.ra, p.dec, p.type, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z, p.cModelMag_u, p.cModelMag_g, p.cModelMag_r, p.cModelMag_i, p.cModelMag_z, p.cModelMagErr_u, p.cModelMagErr_g, p.cModelMagErr_r, p.cModelMagErr_i, p.cModelMagErr_z, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-04-01 04:11:00,1
2019-04-01 04:24:00,1
2019-04-01 04:31:00,1
2019-04-01 04:38:00,1
2019-04-01 04:59:00,1
2019-04-01 05:39:00,1
2019-04-01 06:11:00,1
2019-04-01 06:28:00,1
2019-04-01 06:33:00,1
2019-04-01 06:43:00,1
2019-04-01 06:58:00,1
2019-04-01 07:17:00,1
2019-04-01 13:00:00,1
2019-04-01 14:16:00,1
2019-04-01 14:25:00,1
2019-04-01 14:30:00,1
2019-04-01 14:43:00,1
2019-04-01 15:00:00,1
2019-04-01 15:52:00,1
2019-04-01 16:01:00,1
2019-04-01 16:05:00,1
2019-04-01 16:13:00,1
2019-04-01 16:22:00,1
2019-04-01 16:29:00,1
2019-04-01 21:00:00,1
2019-04-01 21:10:00,1
2019-04-01 21:23:00,1
2019-04-01 21:29:00,1
