4,"SELECT TOP # s.plate,s.mjd,s.fiberid,p.run,p.rerun,p.camCol,p.field,p.obj FROM BESTDR9..SpecObj as s 	JOIN BESTDR9..PhotoObj AS p ON s.bestObjID = p.objID WHERE  s.z > # AND s.zWarning = # AND (s.class = &&&) AND s.z < # AND ( p.type = # OR p.type = #) AND (p.flags & (dbo.fPhotoFlags(&&&)) > #)"
2019-04-01 15:56:00,1
2019-04-01 15:57:00,2
2019-04-01 15:58:00,1
