15,"select p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z FROM PhotoPrimary AS p WHERE type=# AND ((flags_r & #) != #)AND ((flags_r & #) = #)AND (((flags_r & #) = #) or (psfmagerr_g <= #))AND (((flags_r & #) = #) or (flags_r & #) = #)AND p.ra BETWEEN (#-#) AND (#+#) AND p.dec BETWEEN (#-#) AND (#+#) ORDER BY p.objid"
2019-04-01 22:15:00,1
2019-04-01 22:16:00,2
2019-04-01 22:17:00,1
2019-04-01 22:18:00,1
2019-04-01 22:20:00,1
2019-04-01 22:22:00,1
2019-04-01 22:25:00,1
2019-04-01 22:27:00,1
2019-04-01 22:28:00,1
2019-04-01 22:30:00,1
2019-04-01 22:32:00,1
2019-04-01 22:34:00,1
2019-04-01 22:36:00,1
2019-04-01 22:37:00,1
