26,select * from galSpecLine where specObjId=#
2019-04-22 00:13:00,1
2019-04-22 00:44:00,1
2019-04-22 01:57:00,1
2019-04-22 03:12:00,1
2019-04-22 03:23:00,4
2019-04-22 03:24:00,2
2019-04-22 04:55:00,1
2019-04-22 04:57:00,1
2019-04-22 06:30:00,1
2019-04-22 08:03:00,1
2019-04-22 08:25:00,1
2019-04-22 10:31:00,1
2019-04-22 11:21:00,1
2019-04-22 13:16:00,1
2019-04-22 13:33:00,1
2019-04-22 13:42:00,1
2019-04-22 14:38:00,1
2019-04-22 15:41:00,1
2019-04-22 16:42:00,2
2019-04-22 17:10:00,1
2019-04-22 17:59:00,1
