1163,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-22 12:31:00,12
2019-04-22 12:35:00,12
2019-04-22 12:36:00,11
2019-04-22 12:38:00,243
2019-04-22 12:39:00,307
2019-04-22 12:41:00,3
2019-04-22 12:42:00,12
2019-04-22 12:43:00,9
2019-04-22 12:44:00,30
2019-04-22 12:45:00,9
2019-04-22 12:47:00,6
2019-04-22 12:48:00,4
2019-04-22 12:49:00,5
2019-04-22 12:50:00,15
2019-04-22 12:52:00,9
2019-04-22 12:54:00,24
2019-04-22 12:57:00,29
2019-04-22 12:59:00,47
2019-04-22 13:00:00,155
2019-04-22 13:01:00,15
2019-04-22 13:02:00,13
2019-04-22 13:03:00,2
2019-04-22 13:04:00,6
2019-04-22 13:05:00,10
2019-04-22 13:07:00,12
2019-04-22 13:08:00,18
2019-04-22 13:09:00,138
2019-04-22 13:11:00,7
