40,"SELECT ALL   p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,   s.class, s.z as redshift, s.class   FROM PhotoPrimary AS p   JOIN SpecObj AS s ON s.class = &&&   WHERE   p.ra BETWEEN # AND #   AND p.dec BETWEEN # AND #   AND p.type = #"
2019-04-22 11:57:00,1
2019-04-22 12:02:00,2
2019-04-22 12:03:00,1
2019-04-22 12:05:00,1
2019-04-22 12:08:00,1
2019-04-22 12:09:00,1
2019-04-22 12:10:00,1
2019-04-22 12:13:00,1
2019-04-22 12:16:00,1
2019-04-22 12:19:00,1
2019-04-22 12:22:00,1
2019-04-22 12:24:00,1
2019-04-22 12:25:00,1
2019-04-22 12:26:00,1
2019-04-22 12:27:00,2
2019-04-22 12:28:00,2
2019-04-22 12:30:00,1
2019-04-22 12:31:00,1
2019-04-22 12:32:00,1
2019-04-22 12:33:00,1
2019-04-22 12:34:00,1
2019-04-22 12:36:00,2
2019-04-22 12:37:00,2
2019-04-22 12:38:00,1
2019-04-22 12:40:00,1
2019-04-22 12:41:00,1
2019-04-22 12:43:00,2
2019-04-22 12:44:00,2
2019-04-22 12:45:00,1
2019-04-22 12:46:00,1
2019-04-22 12:47:00,1
2019-04-22 12:48:00,1
2019-04-22 12:49:00,1
