2112,"select ra,dec, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < #"
2019-04-22 17:15:00,2
2019-04-22 17:16:00,9
2019-04-22 17:17:00,9
2019-04-22 17:18:00,6
2019-04-22 17:19:00,7
2019-04-22 17:20:00,6
2019-04-22 17:21:00,4
2019-04-22 17:22:00,5
2019-04-22 17:23:00,3
2019-04-22 17:24:00,5
2019-04-22 17:25:00,6
2019-04-22 17:26:00,6
2019-04-22 17:27:00,5
2019-04-22 17:28:00,4
2019-04-22 17:29:00,5
2019-04-22 17:30:00,8
2019-04-22 17:31:00,7
2019-04-22 17:32:00,15
2019-04-22 17:33:00,6
2019-04-22 17:34:00,8
2019-04-22 17:35:00,7
2019-04-22 17:36:00,5
2019-04-22 17:37:00,9
2019-04-22 17:38:00,10
2019-04-22 17:39:00,7
2019-04-22 17:40:00,8
2019-04-22 17:41:00,14
2019-04-22 17:42:00,8
2019-04-22 17:43:00,12
2019-04-22 17:44:00,10
2019-04-22 17:45:00,12
2019-04-22 17:46:00,19
2019-04-22 17:47:00,12
2019-04-22 17:48:00,11
2019-04-22 17:49:00,9
2019-04-22 17:50:00,7
2019-04-22 17:51:00,12
2019-04-22 17:52:00,10
2019-04-22 17:53:00,15
2019-04-22 17:54:00,16
2019-04-22 17:55:00,18
2019-04-22 17:56:00,19
2019-04-22 17:57:00,19
2019-04-22 17:58:00,17
2019-04-22 17:59:00,18
2019-04-22 18:00:00,14
2019-04-22 18:01:00,17
2019-04-22 18:02:00,17
2019-04-22 18:03:00,4
2019-04-22 18:12:00,3
2019-04-22 18:13:00,19
2019-04-22 18:14:00,20
2019-04-22 18:15:00,20
2019-04-22 18:16:00,26
2019-04-22 18:17:00,18
2019-04-22 18:18:00,19
2019-04-22 18:19:00,20
2019-04-22 18:20:00,14
2019-04-22 18:21:00,15
2019-04-22 18:22:00,15
2019-04-22 18:23:00,20
2019-04-22 18:24:00,17
2019-04-22 18:25:00,16
2019-04-22 18:26:00,13
2019-04-22 18:27:00,12
2019-04-22 18:28:00,11
2019-04-22 18:29:00,11
2019-04-22 18:30:00,43
2019-04-22 18:31:00,41
2019-04-22 18:32:00,42
2019-04-22 18:33:00,41
2019-04-22 18:34:00,36
2019-04-22 18:35:00,12
2019-04-22 18:36:00,18
2019-04-22 18:37:00,14
2019-04-22 18:38:00,15
2019-04-22 18:39:00,16
2019-04-22 18:40:00,29
2019-04-22 18:41:00,18
2019-04-22 18:42:00,19
2019-04-22 18:43:00,28
2019-04-22 18:44:00,21
2019-04-22 18:45:00,25
2019-04-22 18:46:00,23
2019-04-22 18:47:00,20
2019-04-22 18:48:00,20
2019-04-22 18:49:00,29
2019-04-22 18:50:00,22
2019-04-22 18:51:00,17
2019-04-22 18:52:00,17
2019-04-22 18:53:00,14
2019-04-22 18:54:00,14
2019-04-22 18:55:00,18
2019-04-22 18:56:00,17
2019-04-22 18:57:00,17
2019-04-22 18:58:00,21
2019-04-22 18:59:00,13
2019-04-22 19:00:00,14
2019-04-22 19:01:00,10
2019-04-22 19:02:00,7
2019-04-22 19:03:00,13
2019-04-22 19:04:00,8
2019-04-22 19:05:00,14
2019-04-22 19:06:00,14
2019-04-22 19:07:00,8
2019-04-22 19:08:00,9
2019-04-22 19:09:00,11
2019-04-22 19:10:00,11
2019-04-22 19:11:00,13
2019-04-22 19:12:00,10
2019-04-22 19:13:00,8
2019-04-22 19:14:00,13
2019-04-22 19:15:00,8
2019-04-22 19:16:00,9
2019-04-22 19:17:00,8
2019-04-22 19:18:00,13
2019-04-22 19:19:00,6
2019-04-22 19:20:00,10
2019-04-22 19:21:00,8
2019-04-22 19:22:00,13
2019-04-22 19:23:00,10
2019-04-22 19:24:00,7
2019-04-22 19:25:00,8
2019-04-22 19:26:00,8
2019-04-22 19:27:00,11
2019-04-22 19:28:00,8
2019-04-22 19:29:00,5
2019-04-22 19:30:00,7
2019-04-22 19:31:00,9
2019-04-22 19:32:00,13
2019-04-22 19:33:00,10
2019-04-22 19:34:00,8
2019-04-22 19:35:00,7
2019-04-22 19:36:00,10
2019-04-22 19:37:00,7
2019-04-22 19:38:00,7
2019-04-22 19:39:00,5
2019-04-22 19:40:00,6
2019-04-22 19:41:00,6
2019-04-22 19:42:00,7
2019-04-22 19:43:00,6
2019-04-22 19:44:00,6
2019-04-22 19:45:00,6
2019-04-22 19:46:00,5
2019-04-22 19:47:00,5
2019-04-22 19:48:00,4
2019-04-22 19:49:00,12
2019-04-22 19:50:00,19
2019-04-22 19:51:00,18
2019-04-22 19:52:00,22
2019-04-22 19:53:00,22
2019-04-22 19:54:00,19
2019-04-22 19:55:00,24
2019-04-22 19:56:00,18
2019-04-22 19:57:00,16
2019-04-22 19:58:00,31
2019-04-22 19:59:00,23
2019-04-22 20:00:00,8
