11,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-04-22 02:08:00,1
2019-04-22 03:06:00,1
2019-04-22 06:36:00,1
2019-04-22 06:58:00,1
2019-04-22 11:24:00,2
2019-04-22 11:28:00,1
2019-04-22 11:29:00,1
2019-04-22 11:57:00,1
2019-04-22 15:11:00,1
2019-04-22 17:55:00,1
