167,select * from zoo2Stripe8#Normal where dr8objid=#
2019-04-22 11:08:00,2
2019-04-22 11:09:00,8
2019-04-22 11:10:00,8
2019-04-22 11:11:00,16
2019-04-22 11:12:00,7
2019-04-22 11:13:00,5
2019-04-22 11:14:00,5
2019-04-22 11:15:00,4
2019-04-22 11:16:00,5
2019-04-22 11:17:00,7
2019-04-22 11:18:00,6
2019-04-22 11:19:00,6
2019-04-22 11:20:00,6
2019-04-22 11:21:00,6
2019-04-22 11:22:00,5
2019-04-22 11:23:00,6
2019-04-22 11:24:00,5
2019-04-22 13:14:00,9
2019-04-22 13:15:00,26
2019-04-22 14:58:00,7
2019-04-22 14:59:00,17
2019-04-22 22:41:00,1
