275,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-04-22 00:01:00,1
2019-04-22 00:05:00,4
2019-04-22 00:09:00,1
2019-04-22 00:20:00,1
2019-04-22 00:25:00,1
2019-04-22 01:01:00,1
2019-04-22 01:05:00,1
2019-04-22 03:35:00,4
2019-04-22 04:01:00,1
2019-04-22 04:05:00,37
2019-04-22 04:06:00,17
2019-04-22 04:09:00,1
2019-04-22 04:12:00,1
2019-04-22 04:16:00,1
2019-04-22 04:20:00,1
2019-04-22 04:31:00,1
2019-04-22 04:35:00,1
2019-04-22 04:40:00,1
2019-04-22 04:43:00,1
2019-04-22 04:47:00,1
2019-04-22 04:50:00,1
2019-04-22 04:55:00,1
2019-04-22 04:58:00,1
2019-04-22 05:02:00,1
2019-04-22 05:05:00,1
2019-04-22 05:06:00,1
2019-04-22 05:11:00,1
2019-04-22 05:15:00,3
2019-04-22 05:19:00,1
2019-04-22 05:20:00,1
2019-04-22 05:24:00,1
2019-04-22 05:28:00,1
2019-04-22 05:39:00,1
2019-04-22 05:45:00,1
2019-04-22 05:50:00,1
2019-04-22 05:55:00,1
2019-04-22 05:59:00,1
2019-04-22 06:04:00,1
2019-04-22 06:05:00,2
2019-04-22 06:08:00,1
2019-04-22 06:10:00,2
2019-04-22 06:13:00,1
2019-04-22 06:15:00,11
2019-04-22 06:20:00,5
2019-04-22 06:26:00,1
2019-04-22 06:32:00,1
2019-04-22 06:35:00,17
2019-04-22 06:37:00,1
2019-04-22 06:40:00,15
2019-04-22 06:41:00,1
2019-04-22 06:46:00,1
2019-04-22 06:51:00,1
2019-04-22 06:57:00,1
2019-04-22 07:02:00,1
2019-04-22 07:09:00,1
2019-04-22 07:15:00,1
2019-04-22 07:35:00,3
2019-04-22 07:40:00,2
2019-04-22 07:42:00,1
2019-04-22 07:49:00,1
2019-04-22 07:55:00,13
2019-04-22 07:57:00,1
2019-04-22 08:00:00,10
2019-04-22 08:11:00,1
2019-04-22 08:17:00,1
2019-04-22 08:23:00,1
2019-04-22 08:29:00,1
2019-04-22 08:35:00,1
2019-04-22 08:39:00,1
2019-04-22 08:40:00,1
2019-04-22 08:41:00,1
2019-04-22 08:46:00,1
2019-04-22 08:51:00,1
2019-04-22 08:58:00,1
2019-04-22 09:03:00,1
2019-04-22 09:05:00,3
2019-04-22 09:10:00,1
2019-04-22 09:40:00,1
2019-04-22 09:55:00,27
2019-04-22 10:00:00,8
2019-04-22 11:05:00,3
2019-04-22 11:10:00,1
2019-04-22 12:45:00,4
2019-04-22 12:50:00,1
2019-04-22 16:50:00,1
2019-04-22 16:55:00,1
2019-04-22 17:05:00,6
2019-04-22 17:10:00,3
2019-04-22 19:50:00,2
2019-04-22 20:05:00,4
2019-04-22 20:10:00,2
2019-04-22 23:35:00,1
2019-04-22 23:40:00,1
