2603,"select ra,dec,l,b, extinction_u, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < #"
2019-04-22 16:59:00,5
2019-04-22 17:00:00,5
2019-04-22 17:01:00,4
2019-04-22 17:02:00,5
2019-04-22 17:03:00,5
2019-04-22 17:04:00,5
2019-04-22 17:05:00,4
2019-04-22 17:06:00,4
2019-04-22 17:07:00,5
2019-04-22 17:08:00,4
2019-04-22 17:09:00,4
2019-04-22 17:10:00,4
2019-04-22 17:11:00,5
2019-04-22 17:12:00,6
2019-04-22 17:13:00,5
2019-04-22 17:14:00,5
2019-04-22 17:15:00,5
2019-04-22 17:16:00,4
2019-04-22 17:17:00,6
2019-04-22 17:18:00,6
2019-04-22 17:19:00,5
2019-04-22 17:20:00,5
2019-04-22 17:21:00,4
2019-04-22 17:22:00,4
2019-04-22 17:23:00,3
2019-04-22 17:24:00,5
2019-04-22 17:25:00,4
2019-04-22 17:26:00,5
2019-04-22 17:27:00,4
2019-04-22 17:28:00,4
2019-04-22 17:29:00,5
2019-04-22 17:30:00,4
2019-04-22 17:31:00,5
2019-04-22 17:32:00,5
2019-04-22 17:33:00,5
2019-04-22 17:34:00,4
2019-04-22 17:35:00,4
2019-04-22 17:36:00,3
2019-04-22 17:37:00,3
2019-04-22 17:38:00,5
2019-04-22 17:39:00,5
2019-04-22 17:40:00,3
2019-04-22 17:41:00,2
2019-04-22 17:42:00,4
2019-04-22 17:43:00,3
2019-04-22 17:44:00,4
2019-04-22 17:45:00,7
2019-04-22 17:46:00,6
2019-04-22 17:47:00,4
2019-04-22 17:48:00,4
2019-04-22 17:49:00,4
2019-04-22 17:50:00,4
2019-04-22 17:51:00,4
2019-04-22 17:52:00,4
2019-04-22 17:53:00,6
2019-04-22 17:54:00,4
2019-04-22 17:55:00,4
2019-04-22 17:56:00,6
2019-04-22 17:57:00,6
2019-04-22 17:58:00,5
2019-04-22 17:59:00,4
2019-04-22 18:00:00,4
2019-04-22 18:01:00,5
2019-04-22 18:02:00,4
2019-04-22 18:03:00,2
2019-04-22 18:34:00,1
2019-04-22 18:35:00,6
2019-04-22 18:36:00,4
2019-04-22 18:37:00,7
2019-04-22 18:38:00,4
2019-04-22 18:39:00,5
2019-04-22 18:40:00,6
2019-04-22 18:41:00,6
2019-04-22 18:42:00,5
2019-04-22 18:43:00,11
2019-04-22 18:44:00,5
2019-04-22 18:45:00,7
2019-04-22 18:46:00,9
2019-04-22 18:47:00,9
2019-04-22 18:48:00,6
2019-04-22 18:49:00,9
2019-04-22 18:50:00,5
2019-04-22 18:51:00,7
2019-04-22 18:52:00,8
2019-04-22 18:53:00,5
2019-04-22 18:54:00,6
2019-04-22 18:55:00,9
2019-04-22 18:56:00,10
2019-04-22 18:57:00,8
2019-04-22 18:58:00,8
2019-04-22 18:59:00,5
2019-04-22 19:00:00,11
2019-04-22 19:01:00,8
2019-04-22 19:02:00,5
2019-04-22 19:03:00,7
2019-04-22 19:04:00,5
2019-04-22 19:05:00,7
2019-04-22 19:06:00,7
2019-04-22 19:07:00,5
2019-04-22 19:08:00,6
2019-04-22 19:09:00,8
2019-04-22 19:10:00,7
2019-04-22 19:11:00,10
2019-04-22 19:12:00,7
2019-04-22 19:13:00,5
2019-04-22 19:14:00,9
2019-04-22 19:15:00,3
2019-04-22 19:16:00,7
2019-04-22 19:17:00,6
2019-04-22 19:18:00,7
2019-04-22 19:19:00,5
2019-04-22 19:20:00,6
2019-04-22 19:21:00,6
2019-04-22 19:22:00,6
2019-04-22 19:23:00,8
2019-04-22 19:24:00,5
2019-04-22 19:25:00,5
2019-04-22 19:26:00,5
2019-04-22 19:27:00,8
2019-04-22 19:28:00,8
2019-04-22 19:29:00,5
2019-04-22 19:30:00,6
2019-04-22 19:31:00,8
2019-04-22 19:32:00,7
2019-04-22 19:33:00,7
2019-04-22 19:34:00,7
2019-04-22 19:35:00,6
2019-04-22 19:36:00,6
2019-04-22 19:37:00,8
2019-04-22 19:38:00,4
2019-04-22 19:39:00,6
2019-04-22 19:40:00,9
2019-04-22 19:41:00,7
2019-04-22 19:42:00,6
2019-04-22 19:43:00,6
2019-04-22 19:44:00,8
2019-04-22 19:45:00,4
2019-04-22 19:46:00,5
2019-04-22 19:47:00,6
2019-04-22 19:48:00,5
2019-04-22 19:49:00,9
2019-04-22 19:50:00,10
2019-04-22 19:51:00,12
2019-04-22 19:52:00,9
2019-04-22 19:53:00,9
2019-04-22 19:54:00,9
2019-04-22 19:55:00,12
2019-04-22 19:56:00,15
2019-04-22 19:57:00,11
2019-04-22 19:58:00,14
2019-04-22 19:59:00,8
