24,"select ra,dec, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r from star as s where ra between # and # and dec between #e-# and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < #"
2019-04-22 17:18:00,1
2019-04-22 17:23:00,1
2019-04-22 17:28:00,1
2019-04-22 17:30:00,1
2019-04-22 17:36:00,1
2019-04-22 17:53:00,1
2019-04-22 17:56:00,1
2019-04-22 17:57:00,1
2019-04-22 18:03:00,1
2019-04-22 18:13:00,1
2019-04-22 18:14:00,2
2019-04-22 18:16:00,1
2019-04-22 18:19:00,2
2019-04-22 18:20:00,2
2019-04-22 18:22:00,2
2019-04-22 18:26:00,2
2019-04-22 18:27:00,1
2019-04-22 18:28:00,1
2019-04-22 18:29:00,1
