30,"SELECT ra,dec,r FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND r < # AND r > # AND clean = #"
2019-08-09 08:26:00,1
2019-08-09 08:32:00,1
2019-08-09 08:37:00,1
2019-08-09 08:41:00,1
2019-08-09 08:46:00,1
2019-08-09 08:50:00,1
2019-08-09 08:55:00,1
2019-08-09 08:58:00,1
2019-08-09 09:03:00,1
2019-08-09 09:08:00,1
2019-08-09 09:10:00,1
2019-08-09 09:18:00,1
2019-08-09 09:34:00,1
2019-08-09 09:39:00,1
2019-08-09 09:44:00,1
2019-08-09 09:50:00,1
2019-08-09 10:00:00,1
2019-08-09 10:06:00,1
2019-08-09 10:12:00,1
2019-08-09 10:19:00,1
2019-08-09 10:26:00,1
2019-08-09 10:30:00,1
2019-08-09 10:38:00,1
2019-08-09 10:43:00,1
2019-08-09 10:49:00,1
2019-08-09 10:54:00,1
2019-08-09 11:00:00,1
2019-08-09 11:47:00,2
2019-08-09 12:13:00,1
