149,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-08-09 05:01:00,11
2019-08-09 05:02:00,13
2019-08-09 05:03:00,15
2019-08-09 05:04:00,11
2019-08-09 05:05:00,12
2019-08-09 05:06:00,12
2019-08-09 05:07:00,4
2019-08-09 05:08:00,7
2019-08-09 05:09:00,6
2019-08-09 05:10:00,7
2019-08-09 05:11:00,6
2019-08-09 05:12:00,7
2019-08-09 05:13:00,5
2019-08-09 05:17:00,6
2019-08-09 05:18:00,4
2019-08-09 18:00:00,1
2019-08-09 18:01:00,1
2019-08-09 18:02:00,1
2019-08-09 18:06:00,1
2019-08-09 18:07:00,1
2019-08-09 18:08:00,2
2019-08-09 18:09:00,1
2019-08-09 18:10:00,2
2019-08-09 18:11:00,1
2019-08-09 18:12:00,2
2019-08-09 18:13:00,1
2019-08-09 18:14:00,1
2019-08-09 18:16:00,1
2019-08-09 18:17:00,2
2019-08-09 18:18:00,2
2019-08-09 18:19:00,1
2019-08-09 18:20:00,1
2019-08-09 18:21:00,1
