49,"SELECT TOP # p.objid,  p.type, p.ra, p.dec, p.g, distance  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID order by distance"
2019-08-09 04:01:00,1
2019-08-09 04:02:00,1
2019-08-09 04:03:00,1
2019-08-09 04:04:00,1
2019-08-09 04:05:00,1
2019-08-09 04:06:00,1
2019-08-09 04:07:00,1
2019-08-09 04:08:00,2
2019-08-09 04:09:00,1
2019-08-09 04:10:00,1
2019-08-09 04:11:00,1
2019-08-09 04:12:00,1
2019-08-09 04:13:00,2
2019-08-09 04:14:00,1
2019-08-09 04:15:00,1
2019-08-09 04:16:00,1
2019-08-09 04:17:00,2
2019-08-09 04:18:00,1
2019-08-09 04:19:00,2
2019-08-09 04:20:00,1
2019-08-09 04:21:00,2
2019-08-09 04:22:00,1
2019-08-09 04:23:00,1
2019-08-09 04:24:00,2
2019-08-09 04:25:00,1
2019-08-09 04:26:00,1
2019-08-09 04:27:00,2
2019-08-09 04:28:00,1
2019-08-09 04:29:00,1
2019-08-09 04:30:00,2
2019-08-09 04:31:00,1
2019-08-09 04:32:00,1
2019-08-09 04:33:00,2
2019-08-09 04:34:00,1
2019-08-09 04:35:00,1
2019-08-09 04:36:00,2
2019-08-09 04:37:00,1
2019-08-09 04:38:00,1
2019-08-09 04:39:00,1
