10293,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-08-09 00:03:00,14
2019-08-09 00:04:00,64
2019-08-09 00:05:00,52
2019-08-09 00:06:00,73
2019-08-09 00:07:00,67
2019-08-09 00:08:00,79
2019-08-09 00:09:00,66
2019-08-09 00:10:00,67
2019-08-09 00:11:00,68
2019-08-09 00:12:00,80
2019-08-09 00:13:00,93
2019-08-09 00:14:00,74
2019-08-09 00:15:00,93
2019-08-09 00:16:00,74
2019-08-09 00:17:00,52
2019-08-09 00:18:00,47
2019-08-09 00:19:00,46
2019-08-09 00:20:00,26
2019-08-09 00:21:00,25
2019-08-09 00:22:00,28
2019-08-09 00:23:00,29
2019-08-09 00:24:00,7
2019-08-09 01:36:00,53
2019-08-09 01:37:00,124
2019-08-09 01:38:00,138
2019-08-09 01:39:00,134
2019-08-09 01:40:00,110
2019-08-09 01:41:00,118
2019-08-09 01:42:00,108
2019-08-09 01:43:00,121
2019-08-09 01:44:00,123
2019-08-09 01:45:00,108
2019-08-09 01:46:00,118
2019-08-09 01:47:00,111
2019-08-09 01:48:00,105
2019-08-09 01:49:00,117
2019-08-09 01:50:00,113
2019-08-09 01:51:00,108
2019-08-09 01:52:00,96
2019-08-09 01:53:00,104
2019-08-09 01:54:00,97
2019-08-09 01:55:00,93
2019-08-09 01:56:00,110
2019-08-09 01:57:00,101
2019-08-09 01:58:00,118
2019-08-09 01:59:00,118
2019-08-09 02:00:00,107
2019-08-09 02:01:00,115
2019-08-09 02:02:00,124
2019-08-09 02:03:00,118
2019-08-09 02:04:00,133
2019-08-09 02:05:00,119
2019-08-09 02:06:00,114
2019-08-09 02:07:00,110
2019-08-09 02:08:00,125
2019-08-09 02:09:00,114
2019-08-09 02:10:00,117
2019-08-09 02:11:00,103
2019-08-09 02:12:00,102
2019-08-09 02:13:00,99
2019-08-09 02:14:00,109
2019-08-09 02:15:00,106
2019-08-09 02:16:00,96
2019-08-09 02:17:00,82
2019-08-09 02:18:00,86
2019-08-09 02:19:00,99
2019-08-09 02:20:00,86
2019-08-09 02:21:00,81
2019-08-09 02:22:00,103
2019-08-09 02:23:00,125
2019-08-09 02:24:00,101
2019-08-09 02:25:00,124
2019-08-09 02:26:00,115
2019-08-09 02:27:00,109
2019-08-09 02:28:00,101
2019-08-09 02:29:00,104
2019-08-09 02:30:00,109
2019-08-09 02:31:00,109
2019-08-09 02:32:00,66
2019-08-09 02:33:00,51
2019-08-09 02:34:00,51
2019-08-09 02:35:00,28
2019-08-09 03:20:00,25
2019-08-09 03:21:00,35
2019-08-09 03:22:00,27
2019-08-09 03:23:00,30
2019-08-09 03:24:00,29
2019-08-09 03:25:00,29
2019-08-09 03:26:00,37
2019-08-09 03:27:00,37
2019-08-09 03:28:00,31
2019-08-09 03:29:00,30
2019-08-09 03:30:00,28
2019-08-09 03:31:00,31
2019-08-09 03:32:00,29
2019-08-09 03:33:00,33
2019-08-09 03:34:00,31
2019-08-09 03:35:00,29
2019-08-09 03:36:00,29
2019-08-09 03:37:00,27
2019-08-09 03:38:00,33
2019-08-09 03:39:00,28
2019-08-09 03:40:00,30
2019-08-09 03:41:00,32
2019-08-09 03:42:00,33
2019-08-09 03:43:00,28
2019-08-09 03:44:00,32
2019-08-09 03:45:00,30
2019-08-09 03:46:00,21
2019-08-09 03:47:00,20
2019-08-09 03:48:00,25
2019-08-09 03:49:00,28
2019-08-09 03:50:00,35
2019-08-09 03:51:00,28
2019-08-09 03:52:00,29
2019-08-09 03:53:00,24
2019-08-09 03:54:00,26
2019-08-09 03:55:00,16
2019-08-09 08:57:00,18
2019-08-09 08:58:00,26
2019-08-09 08:59:00,4
2019-08-09 09:03:00,1
2019-08-09 09:12:00,13
2019-08-09 09:13:00,16
2019-08-09 09:14:00,15
2019-08-09 09:15:00,16
2019-08-09 09:16:00,16
2019-08-09 09:17:00,17
2019-08-09 09:18:00,16
2019-08-09 09:19:00,16
2019-08-09 09:20:00,16
2019-08-09 09:21:00,16
2019-08-09 09:22:00,16
2019-08-09 09:23:00,16
2019-08-09 09:24:00,15
2019-08-09 09:25:00,18
2019-08-09 09:26:00,9
2019-08-09 09:27:00,16
2019-08-09 09:28:00,17
2019-08-09 09:29:00,17
2019-08-09 09:30:00,18
2019-08-09 09:31:00,23
2019-08-09 09:32:00,24
2019-08-09 09:33:00,15
2019-08-09 09:34:00,16
2019-08-09 09:35:00,17
2019-08-09 09:36:00,15
2019-08-09 09:37:00,17
2019-08-09 09:38:00,18
2019-08-09 09:39:00,17
2019-08-09 09:40:00,16
2019-08-09 09:41:00,16
2019-08-09 09:42:00,16
2019-08-09 09:43:00,17
2019-08-09 09:44:00,14
2019-08-09 09:45:00,14
2019-08-09 09:46:00,5
2019-08-09 09:47:00,3
2019-08-09 09:48:00,4
2019-08-09 09:49:00,15
2019-08-09 09:50:00,13
2019-08-09 09:51:00,15
2019-08-09 09:52:00,14
2019-08-09 09:53:00,15
2019-08-09 09:54:00,14
2019-08-09 09:55:00,15
2019-08-09 09:56:00,16
2019-08-09 09:57:00,15
2019-08-09 09:58:00,14
2019-08-09 09:59:00,16
2019-08-09 10:00:00,14
2019-08-09 10:01:00,16
2019-08-09 10:02:00,15
2019-08-09 10:03:00,17
2019-08-09 10:04:00,9
2019-08-09 10:05:00,16
2019-08-09 10:06:00,15
2019-08-09 10:07:00,15
2019-08-09 10:08:00,13
2019-08-09 10:09:00,14
2019-08-09 10:10:00,16
2019-08-09 10:11:00,16
2019-08-09 10:12:00,13
2019-08-09 10:13:00,14
2019-08-09 10:14:00,14
2019-08-09 10:15:00,17
2019-08-09 10:16:00,14
2019-08-09 10:17:00,16
2019-08-09 10:18:00,14
2019-08-09 10:19:00,17
2019-08-09 10:20:00,14
2019-08-09 10:21:00,13
2019-08-09 10:22:00,14
2019-08-09 10:23:00,16
2019-08-09 10:24:00,21
2019-08-09 10:25:00,21
2019-08-09 10:26:00,15
2019-08-09 10:27:00,17
2019-08-09 10:28:00,15
2019-08-09 10:29:00,15
