26,select count(*) as thecount
2019-08-09 09:45:00,2
2019-08-09 10:17:00,2
2019-08-09 10:36:00,2
2019-08-09 10:54:00,1
2019-08-09 10:55:00,1
2019-08-09 11:34:00,1
2019-08-09 11:41:00,1
2019-08-09 11:45:00,1
2019-08-09 11:50:00,1
2019-08-09 12:11:00,1
2019-08-09 12:30:00,1
2019-08-09 12:32:00,2
2019-08-09 12:51:00,1
2019-08-09 13:15:00,1
2019-08-09 13:33:00,1
2019-08-09 13:49:00,1
2019-08-09 14:47:00,1
2019-08-09 14:48:00,1
2019-08-09 15:49:00,1
2019-08-09 16:02:00,1
2019-08-09 16:27:00,1
2019-08-09 16:51:00,1
