3,"SELECT     s.plate, s.fiberid, s.mjd, s.z, s.zwarning,     g.h_beta_flux, g.h_beta_flux_err,   g.h_alpha_flux, g.h_alpha_flux_err,   g.nii_#_flux, g.nii_#_flux_err,   g.oiii_#_flux, g.oiii_#_flux_err,   r.lgm_tot_p9#p5 into mydb.MyTable from GalSpecLine AS g   JOIN SpecObj AS s ON s.specobjid = g.specobjid   JOIN GalSpecExtra AS r ON r.specobjid = g.specobjid WHERE     h_alpha_flux > h_alpha_flux_err*#     AND h_beta_flux > h_beta_flux_err*#     AND oiii_#_flux > oiii_#_flux_err*#     AND nii_#_flux > nii_#_flux_err*#     AND nii_#_flux_err > #     AND r.lgm_tot_p9#p5 > #     AND s.class = &&&     AND s.zwarning = #"
2019-08-09 14:24:00,1
2019-08-09 14:29:00,1
2019-08-09 14:32:00,1
