63,"select TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z from photoobj AS p JOIN Specobj AS s ON s.bestobjid = p.objid where s.z < # and s.z > # and s.class = &&& and s.zWarning = #"
2019-07-30 05:11:00,1
2019-07-30 05:12:00,1
2019-07-30 05:16:00,1
2019-07-30 05:17:00,1
2019-07-30 05:23:00,1
2019-07-30 05:24:00,1
2019-07-30 05:25:00,3
2019-07-30 05:27:00,1
2019-07-30 05:28:00,2
2019-07-30 05:29:00,2
2019-07-30 05:30:00,3
2019-07-30 05:31:00,1
2019-07-30 05:33:00,1
2019-07-30 05:34:00,2
2019-07-30 05:35:00,1
2019-07-30 05:36:00,2
2019-07-30 05:37:00,1
2019-07-30 05:38:00,2
2019-07-30 05:39:00,2
2019-07-30 05:43:00,2
2019-07-30 05:44:00,2
2019-07-30 05:45:00,2
2019-07-30 05:46:00,2
2019-07-30 05:47:00,2
2019-07-30 05:52:00,2
2019-07-30 05:59:00,2
2019-07-30 06:03:00,1
2019-07-30 06:04:00,2
2019-07-30 06:07:00,2
2019-07-30 06:08:00,1
2019-07-30 06:09:00,2
2019-07-30 06:23:00,3
2019-07-30 06:24:00,2
2019-07-30 06:25:00,1
2019-07-30 06:27:00,2
2019-07-30 06:28:00,3
2019-07-30 06:29:00,1
