10,"select  s.objid, s.ra, s.dec, s.u, s.g, s.err_g, s.r,s.err_r, s.i,s.err_i, s.z, s.g-s.r as g_minus_r, s.type  from star s, dbo.fGetNearbyObjEq(#,#,#) n  where   s.objid = n.objid and   s.type=# and   s.err_r<#   and s.r<#"
2019-07-30 17:52:00,1
2019-07-30 17:58:00,2
2019-07-30 18:00:00,2
2019-07-30 18:03:00,1
2019-07-30 18:04:00,1
2019-07-30 18:06:00,1
2019-07-30 18:10:00,1
2019-07-30 18:15:00,1
