43,"SELECT f.aa_r,f.kk_r,f.airmass_r,f.gain_r,f.sky_r,f.skysig_r FROM PhotoObjAll as p JOIN Field as f ON (f.run=p.run AND f.rerun=p.rerun AND f.camcol=p.camcol AND f.field=p.field) WHERE p.objID=#"
2019-07-30 00:17:00,2
2019-07-30 00:18:00,2
2019-07-30 00:19:00,2
2019-07-30 00:20:00,1
2019-07-30 00:37:00,1
2019-07-30 00:44:00,1
2019-07-30 00:52:00,1
2019-07-30 00:53:00,1
2019-07-30 00:55:00,1
2019-07-30 00:56:00,1
2019-07-30 00:57:00,1
2019-07-30 00:58:00,1
2019-07-30 01:00:00,1
2019-07-30 01:09:00,1
2019-07-30 01:11:00,1
2019-07-30 01:12:00,2
2019-07-30 01:13:00,1
2019-07-30 01:14:00,3
2019-07-30 01:15:00,3
2019-07-30 01:16:00,1
2019-07-30 01:17:00,1
2019-07-30 01:18:00,3
2019-07-30 01:19:00,3
2019-07-30 01:21:00,1
2019-07-30 01:22:00,1
2019-07-30 01:23:00,2
2019-07-30 01:24:00,2
2019-07-30 01:25:00,1
2019-07-30 01:26:00,1
