2,"select top # s.objid, s.ra, s.dec, s.u, s.g, s.r, s.i, s.z  from star s, dbo.fGetNearbyObjEq(#,#,#) n  where s.objid = n.objid"
2019-07-30 17:29:00,1
2019-07-30 17:30:00,1
