33,select * from stellarMassFSPSGranWideDust where specObjId=#
2019-07-30 01:01:00,1
2019-07-30 01:05:00,1
2019-07-30 01:09:00,1
2019-07-30 01:12:00,1
2019-07-30 01:14:00,1
2019-07-30 01:16:00,1
2019-07-30 01:17:00,1
2019-07-30 01:22:00,1
2019-07-30 01:24:00,1
2019-07-30 01:27:00,1
2019-07-30 01:28:00,1
2019-07-30 01:29:00,1
2019-07-30 01:31:00,1
2019-07-30 01:37:00,1
2019-07-30 01:39:00,1
2019-07-30 01:40:00,1
2019-07-30 01:45:00,1
2019-07-30 01:47:00,1
2019-07-30 01:53:00,1
2019-07-30 01:55:00,1
2019-07-30 01:59:00,1
2019-07-30 03:16:00,2
2019-07-30 04:54:00,1
2019-07-30 05:36:00,1
2019-07-30 14:19:00,1
2019-07-30 16:31:00,1
2019-07-30 16:47:00,1
2019-07-30 17:22:00,1
2019-07-30 17:41:00,1
2019-07-30 21:22:00,1
2019-07-30 21:56:00,1
2019-07-30 23:19:00,1
