61,"SELECT top # p.ra,p.dec, p.modelMag_r, p.modelMagErr_r,p.clean,p.type,p.mode, s.z, s.class, s.subclass FROM galSpecLine AS g JOIN SpecObj AS s ON s.specObjID = g.specObjID JOIN PhotoObj AS p ON p.specObjID = s.specObjID WHERE s.class = &&& AND clean = # AND s.z <= # AND s.z > # AND modelMag_r >= # AND modelMag_r < #"
2019-07-30 22:07:00,3
2019-07-30 22:08:00,4
2019-07-30 22:09:00,20
2019-07-30 22:10:00,16
2019-07-30 22:15:00,1
2019-07-30 22:16:00,17
