138,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-07-30 01:23:00,1
2019-07-30 01:55:00,1
2019-07-30 03:13:00,1
2019-07-30 03:20:00,1
2019-07-30 03:34:00,1
2019-07-30 03:36:00,2
2019-07-30 04:21:00,1
2019-07-30 04:22:00,1
2019-07-30 04:25:00,1
2019-07-30 04:26:00,1
2019-07-30 04:30:00,1
2019-07-30 04:33:00,1
2019-07-30 04:35:00,2
2019-07-30 04:41:00,2
2019-07-30 04:46:00,1
2019-07-30 04:50:00,1
2019-07-30 04:51:00,1
2019-07-30 04:52:00,1
2019-07-30 05:17:00,1
2019-07-30 05:20:00,1
2019-07-30 05:21:00,1
2019-07-30 05:22:00,1
2019-07-30 05:23:00,1
2019-07-30 05:24:00,1
2019-07-30 05:25:00,2
2019-07-30 05:27:00,3
2019-07-30 05:28:00,1
2019-07-30 05:33:00,1
2019-07-30 05:34:00,1
2019-07-30 05:38:00,1
2019-07-30 05:39:00,2
2019-07-30 06:47:00,1
2019-07-30 07:31:00,1
2019-07-30 07:32:00,1
2019-07-30 07:43:00,1
2019-07-30 07:59:00,1
2019-07-30 08:34:00,4
2019-07-30 08:35:00,1
2019-07-30 09:35:00,1
2019-07-30 09:36:00,8
2019-07-30 09:37:00,2
2019-07-30 10:35:00,6
2019-07-30 10:36:00,7
2019-07-30 11:14:00,1
2019-07-30 11:18:00,1
2019-07-30 12:03:00,1
2019-07-30 12:35:00,1
2019-07-30 13:02:00,1
2019-07-30 13:05:00,2
2019-07-30 13:06:00,4
2019-07-30 13:12:00,5
2019-07-30 13:20:00,2
2019-07-30 13:26:00,1
2019-07-30 16:28:00,1
2019-07-30 17:29:00,1
2019-07-30 17:37:00,1
2019-07-30 17:45:00,1
2019-07-30 17:53:00,1
2019-07-30 17:55:00,1
2019-07-30 17:58:00,1
2019-07-30 17:59:00,1
2019-07-30 18:07:00,6
2019-07-30 18:35:00,1
2019-07-30 18:36:00,1
2019-07-30 18:37:00,1
2019-07-30 18:38:00,5
2019-07-30 18:39:00,3
2019-07-30 18:40:00,1
2019-07-30 18:41:00,1
2019-07-30 18:53:00,1
2019-07-30 18:54:00,1
2019-07-30 23:28:00,1
2019-07-30 23:29:00,1
2019-07-30 23:32:00,1
2019-07-30 23:35:00,1
2019-07-30 23:36:00,1
2019-07-30 23:37:00,1
2019-07-30 23:40:00,1
2019-07-30 23:42:00,1
2019-07-30 23:43:00,3
2019-07-30 23:46:00,2
2019-07-30 23:48:00,1
2019-07-30 23:49:00,1
2019-07-30 23:50:00,1
2019-07-30 23:51:00,1
2019-07-30 23:52:00,1
