56,"select ObjID, specObjID, ra,dec, r, err_r from PhotoObjAll where  ra BETWEEN # and # AND dec BETWEEN # and # AND type = # AND r <# AND #< r"
2019-07-30 16:10:00,1
2019-07-30 16:14:00,1
2019-07-30 16:26:00,1
2019-07-30 16:57:00,1
2019-07-30 16:59:00,1
2019-07-30 17:07:00,1
2019-07-30 17:10:00,1
2019-07-30 17:14:00,2
2019-07-30 17:15:00,1
2019-07-30 17:26:00,1
2019-07-30 17:34:00,1
2019-07-30 17:37:00,1
2019-07-30 17:40:00,2
2019-07-30 17:43:00,1
2019-07-30 17:44:00,1
2019-07-30 17:47:00,3
2019-07-30 17:48:00,2
2019-07-30 17:50:00,1
2019-07-30 17:53:00,1
2019-07-30 17:55:00,1
2019-07-30 17:59:00,1
2019-07-30 18:00:00,2
2019-07-30 18:19:00,1
2019-07-30 18:45:00,2
2019-07-30 18:46:00,1
2019-07-30 19:16:00,1
2019-07-30 19:17:00,2
2019-07-30 19:19:00,1
2019-07-30 19:27:00,3
2019-07-30 19:43:00,1
2019-07-30 19:45:00,1
2019-07-30 20:45:00,2
2019-07-30 20:49:00,1
2019-07-30 21:00:00,1
2019-07-30 21:05:00,1
2019-07-30 21:06:00,1
2019-07-30 21:09:00,1
2019-07-30 21:12:00,1
2019-07-30 21:21:00,1
2019-07-30 21:24:00,1
2019-07-30 21:28:00,1
2019-07-30 21:38:00,1
2019-07-30 21:39:00,1
2019-07-30 21:48:00,1
2019-07-30 21:49:00,1
