5264,"SELECT  top #   p.objID, p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-07-30 00:00:00,2
2019-07-30 00:02:00,1
2019-07-30 00:04:00,6
2019-07-30 00:05:00,9
2019-07-30 00:06:00,3
2019-07-30 00:07:00,11
2019-07-30 00:08:00,4
2019-07-30 00:10:00,2
2019-07-30 00:12:00,1
2019-07-30 00:14:00,6
2019-07-30 00:15:00,9
2019-07-30 00:16:00,3
2019-07-30 00:17:00,11
2019-07-30 00:18:00,4
2019-07-30 00:20:00,2
2019-07-30 00:22:00,1
2019-07-30 00:24:00,6
2019-07-30 00:25:00,9
2019-07-30 00:26:00,3
2019-07-30 00:27:00,11
2019-07-30 00:28:00,4
2019-07-30 00:30:00,2
2019-07-30 00:32:00,1
2019-07-30 00:34:00,7
2019-07-30 00:35:00,9
2019-07-30 00:36:00,3
2019-07-30 00:37:00,11
2019-07-30 00:38:00,4
2019-07-30 00:40:00,2
2019-07-30 00:42:00,1
2019-07-30 00:44:00,6
2019-07-30 00:45:00,9
2019-07-30 00:46:00,3
2019-07-30 00:47:00,11
2019-07-30 00:48:00,4
2019-07-30 00:50:00,2
2019-07-30 00:52:00,1
2019-07-30 00:54:00,6
2019-07-30 00:55:00,9
2019-07-30 00:56:00,3
2019-07-30 00:57:00,11
2019-07-30 00:58:00,4
2019-07-30 01:00:00,2
2019-07-30 01:02:00,1
2019-07-30 01:04:00,7
2019-07-30 01:05:00,9
2019-07-30 01:06:00,3
2019-07-30 01:07:00,11
2019-07-30 01:08:00,4
2019-07-30 01:10:00,2
2019-07-30 01:12:00,1
2019-07-30 01:14:00,6
2019-07-30 01:15:00,10
2019-07-30 01:16:00,3
2019-07-30 01:17:00,11
2019-07-30 01:18:00,4
2019-07-30 01:20:00,2
2019-07-30 01:22:00,1
2019-07-30 01:24:00,6
2019-07-30 01:25:00,10
2019-07-30 01:26:00,3
2019-07-30 01:27:00,11
2019-07-30 01:28:00,4
2019-07-30 01:30:00,2
2019-07-30 01:32:00,1
2019-07-30 01:34:00,6
2019-07-30 01:35:00,9
2019-07-30 01:36:00,3
2019-07-30 01:37:00,11
2019-07-30 01:38:00,4
2019-07-30 01:40:00,2
2019-07-30 01:42:00,1
2019-07-30 01:44:00,5
2019-07-30 01:45:00,10
2019-07-30 01:46:00,3
2019-07-30 01:47:00,11
2019-07-30 01:48:00,4
2019-07-30 01:50:00,2
2019-07-30 01:52:00,1
2019-07-30 01:54:00,5
2019-07-30 01:55:00,10
2019-07-30 01:56:00,3
2019-07-30 01:57:00,11
2019-07-30 01:58:00,4
2019-07-30 02:00:00,2
2019-07-30 02:02:00,1
2019-07-30 02:04:00,6
2019-07-30 02:05:00,11
2019-07-30 02:06:00,3
2019-07-30 02:07:00,11
2019-07-30 02:08:00,4
2019-07-30 02:10:00,2
2019-07-30 02:12:00,1
2019-07-30 02:14:00,5
2019-07-30 02:15:00,10
2019-07-30 02:16:00,3
2019-07-30 02:17:00,11
2019-07-30 02:18:00,4
2019-07-30 02:20:00,2
2019-07-30 02:22:00,1
2019-07-30 02:24:00,5
2019-07-30 02:25:00,13
2019-07-30 02:26:00,3
2019-07-30 02:27:00,11
2019-07-30 02:28:00,4
2019-07-30 02:30:00,2
2019-07-30 02:32:00,1
2019-07-30 02:34:00,5
2019-07-30 02:35:00,10
2019-07-30 02:36:00,3
2019-07-30 02:37:00,11
2019-07-30 02:38:00,4
2019-07-30 02:40:00,2
2019-07-30 02:42:00,1
2019-07-30 02:44:00,5
2019-07-30 02:45:00,10
2019-07-30 02:46:00,3
2019-07-30 02:47:00,11
2019-07-30 02:48:00,4
2019-07-30 02:50:00,2
2019-07-30 02:52:00,1
2019-07-30 02:54:00,5
2019-07-30 02:55:00,10
2019-07-30 02:56:00,3
2019-07-30 02:57:00,11
2019-07-30 02:58:00,4
2019-07-30 03:00:00,2
2019-07-30 03:02:00,1
2019-07-30 03:04:00,5
2019-07-30 03:05:00,10
2019-07-30 03:06:00,3
2019-07-30 03:07:00,11
2019-07-30 03:08:00,4
2019-07-30 03:10:00,2
2019-07-30 03:12:00,1
2019-07-30 03:14:00,2
2019-07-30 03:15:00,13
2019-07-30 03:16:00,3
2019-07-30 03:17:00,11
2019-07-30 03:18:00,4
2019-07-30 03:20:00,2
2019-07-30 03:22:00,1
2019-07-30 03:24:00,2
2019-07-30 03:25:00,13
2019-07-30 03:26:00,3
2019-07-30 03:27:00,11
2019-07-30 03:28:00,4
2019-07-30 03:30:00,2
2019-07-30 03:32:00,1
2019-07-30 03:34:00,2
2019-07-30 03:35:00,15
2019-07-30 03:36:00,3
2019-07-30 03:37:00,11
2019-07-30 03:38:00,4
2019-07-30 03:40:00,2
2019-07-30 03:42:00,1
2019-07-30 03:44:00,2
2019-07-30 03:45:00,13
2019-07-30 03:46:00,3
2019-07-30 03:47:00,11
2019-07-30 03:48:00,4
2019-07-30 03:50:00,2
