14538,"select specObjID, ra, dec, z, zErr, zWarning from dr1#.SpecObjAll where bestObjId =#or fluxObjID =#"
2019-07-30 00:08:00,41
2019-07-30 00:09:00,62
2019-07-30 00:10:00,66
2019-07-30 00:11:00,62
2019-07-30 00:12:00,60
2019-07-30 00:13:00,65
2019-07-30 00:14:00,66
2019-07-30 00:15:00,62
2019-07-30 00:16:00,61
2019-07-30 00:17:00,61
2019-07-30 00:18:00,65
2019-07-30 00:19:00,64
2019-07-30 00:20:00,61
2019-07-30 00:21:00,64
2019-07-30 00:22:00,66
2019-07-30 00:23:00,45
2019-07-30 00:28:00,45
2019-07-30 00:29:00,63
2019-07-30 00:30:00,65
2019-07-30 00:31:00,60
2019-07-30 00:32:00,62
2019-07-30 00:33:00,65
2019-07-30 00:34:00,64
2019-07-30 00:35:00,62
2019-07-30 00:36:00,64
2019-07-30 00:37:00,65
2019-07-30 00:38:00,61
2019-07-30 00:39:00,63
2019-07-30 00:40:00,65
2019-07-30 00:41:00,62
2019-07-30 00:42:00,59
2019-07-30 00:43:00,60
2019-07-30 00:44:00,62
2019-07-30 00:45:00,65
2019-07-30 00:46:00,61
2019-07-30 00:47:00,60
2019-07-30 00:48:00,61
2019-07-30 00:49:00,63
2019-07-30 00:50:00,65
2019-07-30 00:51:00,60
2019-07-30 00:52:00,61
2019-07-30 00:53:00,61
2019-07-30 00:54:00,64
2019-07-30 00:55:00,30
2019-07-30 04:29:00,5
2019-07-30 04:30:00,64
2019-07-30 04:31:00,64
2019-07-30 04:32:00,64
2019-07-30 04:33:00,64
2019-07-30 04:34:00,62
2019-07-30 04:35:00,64
2019-07-30 04:36:00,64
2019-07-30 04:37:00,63
2019-07-30 04:38:00,66
2019-07-30 04:39:00,63
2019-07-30 04:40:00,65
2019-07-30 04:41:00,63
2019-07-30 04:42:00,63
2019-07-30 04:43:00,64
2019-07-30 04:44:00,65
2019-07-30 04:45:00,64
2019-07-30 04:46:00,64
2019-07-30 04:47:00,64
2019-07-30 04:48:00,63
2019-07-30 04:49:00,60
2019-07-30 04:50:00,63
2019-07-30 04:51:00,61
2019-07-30 04:52:00,64
2019-07-30 04:53:00,63
2019-07-30 04:54:00,64
2019-07-30 04:55:00,63
2019-07-30 04:56:00,34
2019-07-30 05:04:00,43
2019-07-30 05:05:00,62
2019-07-30 05:06:00,62
2019-07-30 05:07:00,64
2019-07-30 05:08:00,61
2019-07-30 05:09:00,62
2019-07-30 05:10:00,66
2019-07-30 05:11:00,62
2019-07-30 05:12:00,64
2019-07-30 05:13:00,63
