115,"SELECT p.objid, p.ra, p.dec, f.fieldid, p.field, p.InsideMask, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.type, f.quality, p.specObjID FROM PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid WHERE (clean = #) AND ((f.quality = #) OR (f.quality = #)) AND (p.type = dbo.fPhotoType(&&&) OR p.type = dbo.fPhotoType(&&&)) AND (p.ra BETWEEN # AND #) AND p.dec BETWEEN # AND # AND ((p.InsideMask = #) OR (p.InsideMask = #) OR (p.InsideMask = #)) AND (#/p.err_u > #) AND (#/p.err_g > #) AND (#/p.err_r > #) AND (#/p.err_i > #) AND (#/p.err_z > #)"
2019-07-30 01:52:00,2
2019-07-30 01:53:00,4
2019-07-30 02:12:00,4
2019-07-30 02:13:00,10
2019-07-30 02:14:00,9
2019-07-30 02:15:00,7
2019-07-30 13:56:00,4
2019-07-30 13:57:00,4
2019-07-30 13:58:00,5
2019-07-30 14:00:00,1
2019-07-30 14:05:00,3
2019-07-30 14:06:00,2
2019-07-30 14:07:00,5
2019-07-30 14:08:00,3
2019-07-30 14:09:00,2
2019-07-30 14:10:00,2
2019-07-30 14:11:00,1
2019-07-30 22:28:00,1
2019-07-30 22:29:00,5
2019-07-30 22:30:00,5
2019-07-30 22:31:00,23
2019-07-30 23:28:00,1
2019-07-30 23:29:00,4
2019-07-30 23:30:00,1
2019-07-30 23:36:00,2
2019-07-30 23:37:00,4
2019-07-30 23:38:00,1
