57,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-06-12 00:02:00,1
2019-06-12 00:50:00,1
2019-06-12 04:25:00,1
2019-06-12 06:24:00,4
2019-06-12 06:25:00,6
2019-06-12 06:26:00,8
2019-06-12 06:29:00,2
2019-06-12 06:30:00,4
2019-06-12 06:31:00,2
2019-06-12 06:33:00,5
2019-06-12 11:14:00,1
2019-06-12 12:20:00,1
2019-06-12 14:46:00,1
2019-06-12 15:11:00,1
2019-06-12 15:12:00,1
2019-06-12 15:14:00,1
2019-06-12 16:11:00,2
2019-06-12 16:12:00,1
2019-06-12 16:15:00,3
2019-06-12 16:57:00,1
2019-06-12 17:00:00,1
2019-06-12 17:01:00,2
2019-06-12 17:29:00,1
2019-06-12 17:54:00,1
2019-06-12 18:55:00,1
2019-06-12 19:20:00,1
2019-06-12 20:27:00,2
2019-06-12 23:56:00,1
