6,"SELECT r, g-r AS color FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-06-12 09:27:00,2
2019-06-12 10:20:00,2
2019-06-12 10:21:00,1
2019-06-12 10:22:00,1
