31,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-06-12 08:39:00,1
2019-06-12 08:40:00,1
2019-06-12 08:43:00,2
2019-06-12 08:46:00,1
2019-06-12 08:47:00,1
2019-06-12 08:51:00,4
2019-06-12 08:52:00,1
2019-06-12 08:59:00,1
2019-06-12 09:29:00,1
2019-06-12 09:31:00,1
2019-06-12 09:38:00,2
2019-06-12 09:39:00,1
2019-06-12 09:41:00,2
2019-06-12 09:42:00,1
2019-06-12 09:43:00,1
2019-06-12 09:47:00,2
2019-06-12 09:48:00,1
2019-06-12 09:50:00,2
2019-06-12 09:51:00,1
2019-06-12 10:25:00,1
2019-06-12 10:28:00,1
2019-06-12 12:47:00,1
2019-06-12 14:04:00,1
