25,select count(*) as thecount
2019-06-12 08:56:00,1
2019-06-12 10:42:00,1
2019-06-12 11:21:00,1
2019-06-12 12:23:00,1
2019-06-12 12:24:00,3
2019-06-12 12:30:00,1
2019-06-12 12:31:00,1
2019-06-12 12:39:00,1
2019-06-12 12:43:00,1
2019-06-12 12:46:00,1
2019-06-12 12:47:00,1
2019-06-12 13:02:00,1
2019-06-12 13:36:00,1
2019-06-12 14:27:00,1
2019-06-12 15:22:00,1
2019-06-12 15:24:00,1
2019-06-12 15:31:00,1
2019-06-12 15:37:00,1
2019-06-12 16:09:00,1
2019-06-12 16:58:00,1
2019-06-12 18:26:00,1
2019-06-12 19:03:00,1
2019-06-12 19:36:00,1
