102,"select ra,dec from specObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-06-12 01:10:00,1
2019-06-12 01:11:00,10
2019-06-12 01:13:00,28
2019-06-12 01:26:00,2
2019-06-12 01:39:00,1
2019-06-12 01:41:00,1
2019-06-12 02:45:00,1
2019-06-12 02:49:00,2
2019-06-12 03:33:00,1
2019-06-12 03:34:00,1
2019-06-12 03:42:00,1
2019-06-12 03:45:00,1
2019-06-12 03:51:00,1
2019-06-12 03:52:00,2
2019-06-12 03:53:00,1
2019-06-12 03:56:00,1
2019-06-12 03:57:00,4
2019-06-12 03:58:00,14
2019-06-12 03:59:00,11
2019-06-12 04:00:00,7
2019-06-12 04:01:00,3
2019-06-12 12:53:00,1
2019-06-12 12:55:00,2
2019-06-12 12:56:00,1
2019-06-12 12:58:00,2
2019-06-12 13:53:00,1
2019-06-12 16:52:00,1
