11,"SELECT TOP #  g,r FROM PhotoObj AS p WHERE  p.g BETWEEN # AND #  AND p.r BETWEEN # AND #"
2019-06-12 08:43:00,1
2019-06-12 08:45:00,1
2019-06-12 08:46:00,2
2019-06-12 08:48:00,1
2019-06-12 08:49:00,4
2019-06-12 08:50:00,2
