563,"SELECT specobjid, dr7objid FROM SpecDR7 WHERE specobjid in (#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#,#e+#)"
2019-06-12 22:52:00,23
2019-06-12 22:53:00,34
2019-06-12 23:01:00,16
2019-06-12 23:02:00,169
2019-06-12 23:03:00,191
2019-06-12 23:04:00,130
