102,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns(&&&) ORDER BY [columnID]"
2019-06-12 00:24:00,1
2019-06-12 00:30:00,2
2019-06-12 00:33:00,1
2019-06-12 00:49:00,1
2019-06-12 01:09:00,1
2019-06-12 01:14:00,1
2019-06-12 01:20:00,2
2019-06-12 01:21:00,2
2019-06-12 01:29:00,1
2019-06-12 01:33:00,1
2019-06-12 01:34:00,1
2019-06-12 01:36:00,1
2019-06-12 01:52:00,3
2019-06-12 02:16:00,2
2019-06-12 02:17:00,1
2019-06-12 02:18:00,2
2019-06-12 02:19:00,1
2019-06-12 02:22:00,1
2019-06-12 02:27:00,1
2019-06-12 02:31:00,2
2019-06-12 02:32:00,2
2019-06-12 02:33:00,1
2019-06-12 02:34:00,1
2019-06-12 02:35:00,1
2019-06-12 02:40:00,1
2019-06-12 02:46:00,1
2019-06-12 03:20:00,1
2019-06-12 03:21:00,1
2019-06-12 03:26:00,1
2019-06-12 03:32:00,2
2019-06-12 03:38:00,3
2019-06-12 03:41:00,1
2019-06-12 03:46:00,3
2019-06-12 03:47:00,1
2019-06-12 03:53:00,1
2019-06-12 03:56:00,2
2019-06-12 04:01:00,1
2019-06-12 04:02:00,3
2019-06-12 04:03:00,1
2019-06-12 04:31:00,1
2019-06-12 04:53:00,1
2019-06-12 05:04:00,1
2019-06-12 06:18:00,2
2019-06-12 06:36:00,2
2019-06-12 06:39:00,1
2019-06-12 06:43:00,2
2019-06-12 08:25:00,2
2019-06-12 08:29:00,1
2019-06-12 08:35:00,1
2019-06-12 08:42:00,1
2019-06-12 09:27:00,2
2019-06-12 09:29:00,1
2019-06-12 10:26:00,1
2019-06-12 10:27:00,1
2019-06-12 10:54:00,1
2019-06-12 11:12:00,1
2019-06-12 11:39:00,5
2019-06-12 11:44:00,1
2019-06-12 12:43:00,1
2019-06-12 12:47:00,2
2019-06-12 12:51:00,1
2019-06-12 13:12:00,1
2019-06-12 13:35:00,1
2019-06-12 13:40:00,1
2019-06-12 13:41:00,1
2019-06-12 13:44:00,2
2019-06-12 13:45:00,2
2019-06-12 13:46:00,1
2019-06-12 15:24:00,1
2019-06-12 16:26:00,1
2019-06-12 17:42:00,2
2019-06-12 19:56:00,1
