3,"SELECT TOP # p.g, p.r FROM PhotoObj AS p WHERE p.g BETWEEN # AND # AND p.r BETWEEN # AND #"
2019-06-12 09:42:00,1
2019-06-12 09:43:00,1
2019-06-12 09:45:00,1
