4,"SELECT TOP # p.g , p.r FROM PhotoObj AS p WHERE p.g BETWEEN # AND # AND p.r BETWEEN # AND #"
2019-06-12 08:44:00,1
2019-06-12 08:45:00,2
2019-06-12 08:55:00,1
