44,"SELECT s.*,dbo.fDistanceArcMinEq(s.RA+((s.pmra/cos(radians(s.Dec)))/#.)*(s.mjd_f-s.mjd)/#,s.Dec+(s.pmdec/#.)*(s.mjd_f-s.mjd)/#,s.ra2,s.dec2)*#. as Separation from MyDB.gaia_neigh_galex_mjd as s WHERE dbo.fDistanceArcMinEq(s.RA+((s.pmra/cos(radians(s.Dec)))/#.)*(s.mjd_f-s.mjd)/#,s.Dec+(s.pmdec/#.)*(s.mjd_f-s.mjd)/#,s.ra2,s.dec2)*#.<=# -- cone search #/arcsec INTO gaia_X_galex_test1"
2019-05-18 10:29:00,1
2019-05-18 10:41:00,1
2019-05-18 10:52:00,1
2019-05-18 11:03:00,1
2019-05-18 11:16:00,1
2019-05-18 11:27:00,1
2019-05-18 11:39:00,1
2019-05-18 11:50:00,1
2019-05-18 12:02:00,1
2019-05-18 12:14:00,1
2019-05-18 12:26:00,1
2019-05-18 12:38:00,1
2019-05-18 12:50:00,1
2019-05-18 13:02:00,1
2019-05-18 13:14:00,1
2019-05-18 13:25:00,1
2019-05-18 13:36:00,1
2019-05-18 13:48:00,1
2019-05-18 13:59:00,1
2019-05-18 14:11:00,1
2019-05-18 14:23:00,1
2019-05-18 14:35:00,1
2019-05-18 14:47:00,1
2019-05-18 14:59:00,1
2019-05-18 15:11:00,1
2019-05-18 15:22:00,1
2019-05-18 15:34:00,1
2019-05-18 15:45:00,1
2019-05-18 15:56:00,1
2019-05-18 16:08:00,1
2019-05-18 16:19:00,1
2019-05-18 16:29:00,1
2019-05-18 16:40:00,1
2019-05-18 16:51:00,1
2019-05-18 17:02:00,1
2019-05-18 17:13:00,1
2019-05-18 17:23:00,1
2019-05-18 17:34:00,1
2019-05-18 17:45:00,1
2019-05-18 17:55:00,1
2019-05-18 18:05:00,1
2019-05-18 18:15:00,1
2019-05-18 18:26:00,1
2019-05-18 18:37:00,1
