42,"SELECT p.ra,p.dec,p.raErr,p.decErr,p.objId,p.run,p.rerun,p.camcol,p.field,dbo.fPhotoModeN(mode) as mode,nChild,dbo.fPhotoTypeN(p.type) as type,clean,flags,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,mjd,distance FROM PhotoObj as p JOIN dbo.fGetNearbyObjEq(#,#,#) AS R ON P.objID=R.objID ORDER BY distance"
2019-05-18 11:33:00,1
2019-05-18 12:22:00,1
2019-05-18 12:26:00,1
2019-05-18 12:30:00,2
2019-05-18 12:37:00,1
2019-05-18 12:38:00,1
2019-05-18 12:43:00,1
2019-05-18 12:44:00,1
2019-05-18 12:45:00,1
2019-05-18 12:46:00,1
2019-05-18 12:50:00,1
2019-05-18 12:58:00,1
2019-05-18 12:59:00,1
2019-05-18 13:01:00,1
2019-05-18 13:03:00,1
2019-05-18 13:04:00,1
2019-05-18 13:06:00,1
2019-05-18 13:20:00,2
2019-05-18 13:25:00,1
2019-05-18 13:29:00,1
2019-05-18 13:30:00,1
2019-05-18 13:55:00,1
2019-05-18 14:07:00,1
2019-05-18 14:11:00,1
2019-05-18 17:00:00,1
2019-05-18 17:38:00,1
2019-05-18 18:25:00,1
2019-05-18 18:48:00,1
2019-05-18 18:57:00,1
2019-05-18 18:59:00,1
2019-05-18 19:06:00,1
2019-05-18 19:13:00,1
2019-05-18 21:36:00,1
2019-05-18 21:44:00,1
2019-05-18 21:54:00,1
2019-05-18 22:01:00,1
2019-05-18 22:48:00,1
2019-05-18 23:08:00,1
2019-05-18 23:11:00,1
2019-05-18 23:18:00,1
