127,"SELECT   fieldID,   run,   camCol,   field,   ra,   dec,   run,   rerun   FROM Field   WHERE ra BETWEEN # and # and dec BETWEEN # and #"
2019-05-18 10:27:00,1
2019-05-18 10:29:00,1
2019-05-18 10:36:00,1
2019-05-18 10:41:00,1
2019-05-18 10:49:00,1
2019-05-18 10:52:00,1
2019-05-18 10:55:00,1
2019-05-18 11:03:00,1
2019-05-18 11:06:00,1
2019-05-18 11:12:00,1
2019-05-18 11:15:00,1
2019-05-18 11:24:00,1
2019-05-18 11:28:00,1
2019-05-18 11:31:00,1
2019-05-18 11:34:00,1
2019-05-18 11:39:00,1
2019-05-18 11:44:00,1
2019-05-18 11:55:00,1
2019-05-18 11:59:00,1
2019-05-18 12:03:00,1
2019-05-18 12:07:00,1
2019-05-18 12:12:00,1
2019-05-18 12:18:00,1
2019-05-18 12:25:00,1
2019-05-18 12:28:00,1
2019-05-18 12:34:00,1
2019-05-18 12:39:00,1
2019-05-18 12:43:00,1
2019-05-18 12:49:00,1
2019-05-18 12:53:00,1
2019-05-18 12:57:00,1
2019-05-18 13:03:00,1
2019-05-18 13:07:00,1
2019-05-18 13:10:00,1
2019-05-18 13:15:00,1
2019-05-18 13:17:00,1
2019-05-18 13:27:00,1
2019-05-18 13:31:00,1
2019-05-18 13:36:00,1
2019-05-18 13:42:00,1
2019-05-18 13:49:00,1
2019-05-18 13:52:00,1
2019-05-18 13:56:00,1
2019-05-18 14:01:00,1
2019-05-18 14:10:00,1
2019-05-18 14:16:00,1
2019-05-18 14:21:00,1
2019-05-18 14:26:00,1
2019-05-18 14:32:00,1
2019-05-18 14:36:00,1
2019-05-18 14:45:00,1
2019-05-18 14:48:00,1
2019-05-18 14:53:00,1
2019-05-18 14:58:00,1
2019-05-18 15:03:00,1
2019-05-18 15:09:00,1
2019-05-18 15:13:00,1
2019-05-18 15:18:00,1
2019-05-18 15:22:00,1
2019-05-18 15:29:00,1
2019-05-18 15:36:00,1
2019-05-18 15:42:00,1
2019-05-18 15:48:00,1
2019-05-18 15:56:00,1
2019-05-18 16:02:00,1
2019-05-18 16:05:00,1
2019-05-18 16:08:00,1
2019-05-18 16:13:00,1
2019-05-18 16:17:00,1
2019-05-18 16:21:00,1
2019-05-18 16:27:00,1
2019-05-18 16:33:00,1
2019-05-18 16:41:00,1
2019-05-18 16:47:00,1
2019-05-18 16:50:00,1
2019-05-18 16:52:00,1
2019-05-18 16:58:00,1
2019-05-18 17:05:00,1
2019-05-18 17:14:00,1
2019-05-18 17:26:00,1
2019-05-18 17:29:00,1
2019-05-18 17:32:00,1
2019-05-18 17:38:00,1
2019-05-18 17:42:00,1
2019-05-18 17:51:00,1
2019-05-18 17:57:00,1
2019-05-18 18:05:00,1
2019-05-18 18:09:00,1
2019-05-18 18:13:00,1
2019-05-18 18:16:00,1
2019-05-18 18:24:00,1
2019-05-18 18:31:00,1
2019-05-18 18:37:00,1
2019-05-18 18:42:00,1
2019-05-18 18:46:00,1
2019-05-18 18:50:00,1
2019-05-18 18:56:00,1
2019-05-18 19:01:00,1
2019-05-18 19:14:00,1
2019-05-18 19:21:00,1
2019-05-18 19:26:00,1
2019-05-18 19:33:00,1
2019-05-18 19:36:00,1
2019-05-18 19:45:00,1
2019-05-18 19:49:00,1
2019-05-18 19:56:00,1
2019-05-18 20:01:00,1
2019-05-18 20:06:00,1
2019-05-18 20:10:00,1
2019-05-18 20:16:00,1
2019-05-18 20:22:00,1
2019-05-18 20:28:00,1
2019-05-18 20:34:00,1
2019-05-18 20:39:00,1
2019-05-18 20:49:00,1
2019-05-18 20:53:00,1
2019-05-18 20:58:00,1
2019-05-18 21:05:00,1
2019-05-18 21:10:00,1
2019-05-18 21:14:00,1
2019-05-18 21:19:00,1
2019-05-18 21:27:00,1
2019-05-18 21:30:00,1
2019-05-18 21:41:00,1
2019-05-18 21:46:00,1
2019-05-18 21:50:00,1
2019-05-18 22:02:00,1
