1657,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-18 12:36:00,40
2019-05-18 12:50:00,16
2019-05-18 12:51:00,16
2019-05-18 12:53:00,30
2019-05-18 12:55:00,5
2019-05-18 12:56:00,144
2019-05-18 12:57:00,410
2019-05-18 12:58:00,409
2019-05-18 12:59:00,239
2019-05-18 13:03:00,11
2019-05-18 13:08:00,22
2019-05-18 13:13:00,30
2019-05-18 13:14:00,8
2019-05-18 13:19:00,37
2019-05-18 13:20:00,36
2019-05-18 13:28:00,22
2019-05-18 13:35:00,10
2019-05-18 13:37:00,24
2019-05-18 13:38:00,81
2019-05-18 13:48:00,19
2019-05-18 13:49:00,23
2019-05-18 13:52:00,12
2019-05-18 13:57:00,13
