405,"SELECT top # ra,dec,u,g,r,i,z,GNOE.distance*# FROM PhotoObj as PT JOIN dbo.fGetNearbyObjEq(ra[i],dec[i],#) as GNOE on PT.objID = GNOE.objID ORDER BY GNOE.distance"
2019-10-12 00:18:00,7
2019-10-12 00:19:00,40
2019-10-12 00:20:00,40
2019-10-12 00:21:00,38
2019-10-12 00:22:00,38
2019-10-12 00:23:00,37
2019-10-12 00:24:00,39
2019-10-12 00:25:00,38
2019-10-12 00:26:00,39
2019-10-12 00:27:00,39
2019-10-12 00:28:00,41
2019-10-12 00:29:00,7
2019-10-12 00:41:00,1
2019-10-12 00:42:00,1
